担当教師,回答日時,受付番号,学籍番号,1,2,3,4,5,コピペ検出,類似度,類似テキスト
吉松,2023/5/2 4:52,1736698,26020532,やると決めたら楽しむ,役に立つ喜び成功体験,挫折は大人の始まり,来た波には乗る,目の前のことに集中する,,,
吉松,2023/5/2 5:25,1736704,26022032,やると決めたら楽しむ！,自分で考えて自分で行動する,実績でかえし、信頼をえて、自信がつく,やり切る力,プライドを持つ,,,
吉松,2023/5/2 8:54,1736945,26022082,自分で考え行動に移す,自分がちっぽけに感じる瞬間,チャンスが来たらのる,巡り合いをだいじにする,結果が周囲の信頼につながる,,,
吉松,2023/5/2 8:18,1736808,26023325,学費を払うために学生時代はバイトを頑張っていた所。勉強だけでなくバイトの経験が糧になる事が多かった。,司法試験の勉強を楽しく取り組みその結果2回目で合格する事ができた。何事もやると決めたら楽しむ姿勢。,常に時代は変わり続けていて、当時自分のプロフィールを公開するのも一部の人だけだったがそれがよかった。,新しい事が好きな人で相手から来た波には乗るようなたくましい人でした。,しんどさとかを忘れるぐらいまで夢中になって仕事に取り組む姿勢。,,,
吉松,2023/5/2 5:06,1736701,26023393,やると決めたら楽しむ,自分で考えて自分で行動する機会を作っていく,人との出会い、繋がりを大切にする,色んな場所に自ら赴いて経験を積んでいく,なにかのキッカケになるものを逃さないようにする,,,
吉松,2023/5/2 7:46,1736765,26023482,波が来たらのる,決めたことは楽しむ,辛さを忘れるほど必死になる,実績を上げて周囲からの信頼を得てそして自分の自信につなげる,好奇心で自ら足を運び体験する,,,
吉松,2023/5/2 8:57,1736960,26023669,やると決めたらとことん楽しむことが大切。,弁護士の難しさは依頼者と同化してしまうこと。第三者の立場で俯瞰的にみる。,自分には伸びしろがまだまだあると思って満足しないことが大切。,新たな何かをつかむためにどんどん新しいことにチャレンジする。,新しい仕組みを法律的に細分化していくのが難しい時代となっている。,,,
森,2023/5/2 9:00,1736990,29020425,法律,裁判,社会,弁護士と検察官,取引,,,
森,2023/5/2 4:43,1736696,29021522,弁護士,集中,しっかり楽しむ,自ら行動,正のスパイラル,,,
森,2023/5/2 7:21,1736744,29022132,知らないと怖いものはない,やると決めたら楽しむ,弁護士の仕事は第三者的に全力を尽くすこと,弁護士は枠がないので何でもできる,法の勉強をした知識は絶対に無駄にならない,,,
森,2023/5/2 7:00,1736734,29022488,やると決めたらやる,関学同窓のネットワーク,消費者法,大阪では珍しいホームページに顔出し,テレビ出演,,,
森,2023/5/2 7:36,1736755,29023348,消去法で法学部,これからは政治の時代,司法試験は難しい,最初大学に行くつもりはなかった。,大学卒業してすぐ結婚した。,,,
森,2023/5/2 8:49,1736908,29023397,365日のうちドラマでとりあげられるような場面は年に数回。,専門分野とは自分の好きなことを宣言することだ。,大学とはどんなところかを見たら大学に行きたくなる。,それぞれいろんな経験をしている分聞き合える。,将来を見据える仕事の進め方,,,
森,2023/5/2 8:21,1736815,31020343,ちっぽけな存在と感じる。それが大人の始まりとなる。,来た波には乗る。,何か聞かれる前に自分から報告する。,目の前に来た仕事を一生懸命する。,自分の足で好奇心を持って色んなことを経験する。,,,
森,2023/5/2 7:59,1736781,31020606,法律にはまってから次々とわからないところをつぶしていく,やると決めたら楽しむ、嫌だと思うとできない,辛さを感じないぐらい毎日必死であった,関学なしに今の私は語れない,熱意のある人,,,
森,2023/5/2 8:12,1736801,31021068,やると決めたら楽しむ。,自分で考えて自分で行動する。,自分のペースを大切にする。,自分の能力に限界を決めない。,新しいことにチャレンジする。,,,
森,2023/5/2 7:13,1736741,31023311,学生時代の留学経験が語学の自信につながる。,司法試験に独学で学ぶ勇気を持って取り組む。,新人の頃から重大な仕事を任されたことが後々役にたった。,なにをしても責任をとってくれるボスのおかげで迷惑をかけたくなくて、いろいろ頑張れた。,いろいろな仕事があるけれどどれも真剣勝負と思って取り組む。,,,
森,2023/5/2 7:40,1736759,31023330,楽しい,マネジメント,しっかり大学で勉強する,友達大切,自分自身についてよく知る,,,
森,2023/5/2 7:55,1736777,31023375,挑戦は楽しむ,人との繋がり,努力は報われる,継続は力なり,多様な学び,,,
森,2023/5/2 7:51,1736772,31023391,司法試験,マイペース,周りに振り回されることなく,励まし合う,弁護士,,,
森,2023/5/2 8:57,1736966,31023571,やると決めたらやる,第三者目線で全力をつくす,法律問題は決断の繰り返し,必死になって打ち込むことに疑問を持たない,きた波にはのる,,,
吉松,2023/5/2 8:20,1736812,32022100,やると決めたら楽しむ,全体を俯瞰して将来を見据えて考える,自分で考えて自分で行動する,一つ一つの仕事は全て真剣勝負,好奇心を持っていろんな現場に自ら体験してそれを経験にする,,,
吉松,2023/5/2 9:01,1736998,34023285,弁護士の仕事とロースクールの先生の仕事は全然違う,やると決めたら楽しむ,好きなようにやれと言われたがいやな思いをしながら仕事をこなすこなすことはなかった,人柄で仕事を選んだ,新しい仕組みに追いつくことが大変,,,
森,2023/5/2 8:52,1736932,37021414,仕事への「やりがい」,Slackなど新しい技術の「仕組み」,ロースクール,授業に対する「熱量」,授業を法律的に「細分化」する,,,
森,2023/5/2 8:58,1736976,37022003,やると決めたら楽しむ,一貫性を持つ,目の前の課題をこなす,実績を残す,やりたいことを見つける,,,
森,2023/5/2 8:42,1736879,38021321,波に乗ってみる,楽しむ,相談する,やると決めたらやる,協力してもらう,,,
森,2023/5/2 7:23,1736745,38023587,やると決めたらやり切る,実績から信頼になり自信になる,自分のことがちっぽけに感じれると大人になった印である,逆転のような経験をする,自分とは違う視点,,,
森,2023/5/2 6:46,1736729,38023593,法律が改定されるたびに新しいことを学び続けなければいけない。,自分の実績を上げていくことが自分が自信を持つために1番重要なことである。,一度すると決めたことは何事も楽しんで行うことが大切である。,一人称の視点ばかりで物事を見続けるのではなく第三者の視点を借りて物事を考えることも大切,ボスが様々なことを自分にまかしてくれたおかげで成長できた,,,
吉松,2023/5/2 6:56,1736732,39021011,自分を小さな存在だと感じたときが大人の始まり,実績を上げることで信頼を得ることができ、それが自信につながる,仕事をオファーしてくれた人に対して誠心誠意応える,来た波には乗る,やるときめたら楽しむ,,,
