担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,21023003,来た波に乗る,様々なアルバイトの経験が役に立った,知らないことの方が興味深い,自分が努力しないと得られるものはない,実績をあげると信頼につながる, , , ,Pattern10,波アルバイト経験役こと方興味自分努力もの実績信頼,0.63,"対象:23023485 時期:今学期全てのキーワード:やるって決めたら楽しむ,来た波に乗る,自分が努力しない限り何か得られるものはない,知らないことに興味深い,一つ一つのお仕事に真剣勝負", ,0,, 
森,21023005,何も知識がなかったからこそ怖いものがなかったことが逆に良かった。,すると決めると最後まで楽しんでやりきることが大事。,弁護士は第三者の視点から一人一人になにが最適かを考えを出す。,すべての仕事は真剣勝負であり、自分の努力次第で得られるものが増え、努力しなければ何も得られない。,結婚した後でも資格を取って選択肢を広げるのが大事。, , , ,Pattern11,知識ものこと逆最後こと弁護三視点一人一人考えすべて仕事真剣勝負自分努力次第もの努力結婚後資格選択,0.63,"対象:23022358 時期:今学期全てのキーワード:弁護士の仕事は第三者的に全力を尽くすこと。,一見大きな目に見える成果が出て、自分でも役に立てることがわかった。,自ら努力しないと得られるものはない。仕事は一つ一つ真剣勝負。,弁護士は人の役に立てることが実感できる。,やると決めたら楽しむ。", ,0,, 
森,21023011,やると決めたら楽しむ,波が来たら乗る,自分の知識を誰かのために使うかという時に他者の利益のためにそれを活用する方法をいつも探している,関学に来たからには関学のネットワークに入った、みなさんもその一員,好奇心を持っていろんな現場に足を運んで自ら体験してそれを経験にする, , , ,Pattern12,自分知識ため時他者利益ため活用方法関学関学ネットワークみな一員好奇現場足自ら体験経験,0.6,"対象:22022016 時期:今学期全てのキーワード:やると決めたら楽しむ,自分で考えて行動する,弁護士は人の役に立てるのが実感できる仕事,自分の知識を誰のために使うのか考え、他者の利益のために活用できる方法を探す,インターンやアルバイトなど、好奇心を持ち自ら体験する", ,1,楽しむ, 
森,21023013,弁護士は裁判に行く人ではあるが、実際には会議などをしている時間は短い。ドラマとは違うものが多い。,熱中するのはとても大切なことであるが、俯瞰的になるのが良い時もある。,時には第三者的視線を持つ。,来た波にのる。チャンスは自分のものにする。,一度やると決めたら楽しむ。明るく物事に取り組むことが大切である。, , , ,Pattern13,弁護裁判人実際会議時間ドラマもの熱中こと俯瞰時時三視線波チャンス自分もの一度物事こと,0.62,"対象:22023003 時期:今学期全てのキーワード:「何事も、やると決めたら楽しむ」,人に聞かれたりする前に、自分から行動する。,実際に物事が行われている現場に行って、経験してみることが大切。,人と同じ立場で物事を見るよりも、第三者の視点から客観的に寄り添うことが時には重要。,自分に降ってきたチャンスには、あまり先のことを考えすぎずに、とりあえず乗ってみる", ,1,楽しむ, 
森,21023014,やると決めたら楽しむ,伸び代がある、現状に満足しない,波が来たら乗る,専門分野とは自分の好きなものを宣言するということ,成功体験が自信につながる, , , ,Pattern14,伸び現状満足専門分野自分もの宣言こと成功体験自信,0.64,"対象:22022239 時期:今学期全てのキーワード:専門分野は自分が好きな物を宣言すること。,やると決めたら楽しむ。,来た波には乗る。,予測する前に行動する。,自信は実績を上げて信頼を得ることで付くもの。", ,1,楽しむ, 
森,21023020,やるからには楽しむ。,クライアントの状況を客観的にみる。,誘われた仕事はなるべく引き受けるように。,人との出会いの大切さ。,楽しんで学ぶ。, , , ,,,, , ,1,楽しむ, 
森,21023021,仕事内容がイメージ（ドラマ）と違う。外から見た様子や、憧れだけでは失敗するかもしれないと思った,やると決めたら楽しむ。自分も楽しむことが何かをするうえで一番だと思う,丸投げされたときの成長。自分で考えて、自分で判断することがいかに成長するかを学べた。,決断が大事。生活をしていて、色々なことでおこるとおもうので、経験をつみたい。,自分が役に立つんだと思うことモチベーションを高めたり、ポジティブになるのでいいことだと思う, , , ,Pattern15,仕事内容イメージドラマ外様子憧れ失敗自分ことうえ丸投げとき成長自分自分判断こと成長決断生活こと経験自分役ことモチベーションポジティブこと,0.65,"対象:22021806 時期:今学期全てのキーワード:自分が努力しないと得られるものはない。いくらお金儲けができる仕事でもお金が降ってくることはない。,やるからには楽しんでやる。自分で決めたことだから。,波に乗る。波を作ってくれた人に対して誠心誠意で向き合う。時代のニーズに合わせることもまた波に乗る。,自分で考えて行動する。,自分の価値観とクライアントの価値観は違う。自分は毎日渡されるものでもクライアントにとっては違う。", ,1,楽しむ, 
森,21023022,世の中は法律で回っている,やると決めたら楽しむ,実績を上げると信頼それが自信につながる正のスパイラル,来た波にのること,自分が努力しないと得られるものはない, , , ,Pattern16,世の中法律実績信頼自信正スパイラル波こと自分努力もの,0.64,"対象:24022088 時期:今学期全てのキーワード:やると決めたら楽しむ,俯瞰的に見る,自分でかんがえて行動する,きた波に乗る,実績、信頼、自信の正のスパイラル", ,1,楽しむ, 
森,21023026,やると決めたら楽しむと決める,努力しないと収入などは得られないので一つ一つの仕事は全て真剣にやる,最終的な結果を想像し過ぎない程度に来た波には乗ってみる,好奇心を持って色んな現場に足を運んで自ら体験し、経験する,考えて行動することは今の自分につながるということ, , , ,Pattern17,努力収入一一仕事全て真剣最終結果想像程度波好奇現場足自ら体験経験行動こと今自分こと,0.63,"対象:22022271 時期:今学期全てのキーワード:やると決めたら楽しむ,楽しむということは自分の意思で決めること,関学に入学したことで人生が始まった,今の時代は様々な制度が整っており、留学は活用した方が良い,好奇心をもって、色々な現場に足を運んで、自ら体験してそれを経験にする", ,1,楽しむ, 
森,21023027,負け試合だと思っても熱意をもって前向きに捉えてやると決めたら全力で楽しむ,弁護士の仕事は当事者と同じ目線でいることではなく俯瞰的に見て第三者的に全力を尽くすこと,自分の知識を誰のために使うのかといったときに自分のためではなくて他者の利益のために知識を活用する,ネットで調べられることでも好奇心をもって現場に足を運んで自ら体験して経験を積んでそれが自信に繋がる,信頼関係のために聞かれる前に連絡をいれたり小島さんならやれると思ってくれているなら引き受ける, , , ,Pattern7,試合熱意全力弁護仕事当事目線こと俯瞰三全力こと自分知識ためとき自分ため他者利益ため知識活用ネットこと好奇現場足自ら体験経験自信信頼関係ため前連絡小島,0.63,"対象:21021050 時期:今学期全てのキーワード:やると決めたら楽しむ,仕事のオファーが来たら断らない,上司が新人の時から仕事を任せてくれたため、新人時代から自ら考えて行動していた,今マスタリーフォアサービスを実感するときは、他社の利益のために自分の知識を使うことができるときである,ネットなどで様々な情報が知れる時代だが、好奇心を持ち色々な場に足を運び自ら体験し経験にするべきである", ,1,楽しむ, 
森,21023028,やると決めたら楽しむ,弁護士の仕事は第三者的に全力を尽くす,法律問題は決断の連続,来た波にはとりあえず乗ってみる,努力なしにはお金は降ってこないから一つ一つの仕事を真剣に取り組む, , , ,Pattern18,弁護仕事三全力法律問題決断連続波努力なし金一一仕事真剣,0.72,"対象:22022354 時期:今学期全てのキーワード:やると決めたら楽しむ,弁護士は第三者的に全力を尽くす,法律問題は決断の連続,傾聴,来た波に乗る", ,1,楽しむ, 
森,21023029,初めはゼミで著作権法について学んでいた。,弁護士としての仕事は裁判の書類作りから始まった。,ドラマで見るような仕事ばかりではない。,関学のロースクールは西宮北口のところにあって雨が降っていても濡れずに済む。,弁護士としての仕事は大変なこともあるが今後も意欲的に取り組んでいきたいと思っている。, , , ,,,, , ,0,, 
森,22019049,【やると決めたら楽しむ】純粋に全てのことを楽しもうとする心がけは豊かな人生に?がるだろう。,【俯瞰的に見る】仕事において第三者的立ち位置から冷静に物事を判断することが大切である。,【来た波には乗る】実績を残すと自信につながる。全ての仕事に誠実に全力で取り組む。,【現状に満足しない】自分で考え行動することを心がけることで自分の人間性やキャリアの成長に繋がる。,【好奇心を持って色々な経験をする】情報社会だからこそそれを活用し様々な経験を大切にしたほうが良い。, , , ,Pattern1,全てこと心がけ人生俯瞰仕事三位置冷静物事判断こと波実績自信全て仕事誠実全力現状満足自分行動ことこと自分人間キャリア成長好奇経験情報社会活用経験ほう,0.63,"対象:21020020 時期:今学期全てのキーワード:仕事をする上で俯瞰的になる、第三者的な視点を持たなければならない。,現状に満足せずに、のびしろがあることを理解する。すべてのことに一生懸命に取り組む。,人との出会いが自分を助けてくれる。その出会いによって、来た波には乗る。チャンスは掴む。,今の世の中は調べればすぐに情報を得られるが、好奇心を持って、自分で現場に足を運ぶことが大事。,やると決めたら楽しむ。この楽しむということは自分の意志によって実感することができる。", ,1,楽しむ, 
森,22019709,周りに振り回されない,やると決めたら楽しむ,決断が鈍るということは情報が不十分ということ,役に立てることがあると分かったとき、自信に繋がる,来た波には乗る, , , ,,,, , ,1,楽しむ, 
森,22020038,やると決めたら楽しむこと,ポジティブ思考でいること,物事を俯瞰的に見ること,自分で考えて行動すること,実績を得て自信をつけ信頼を得てまた実績を得るというサイクルを続けたこと, , , ,Pattern19,ことポジティブ思考こと物事俯瞰こと自分行動こと実績自信信頼実績サイクルこと,0.65,"対象:22023378 時期:今学期全てのキーワード:人との関わり、縁を大切にする。,自分がやると決めたら楽しむ。,自分の意志、信念を持ち続けることが大事。,自らが好奇心を持ち、行動に移すことが大切。,一つひとつの仕事に誠実に取り組むこと。", ,1,楽しむ, 
森,22020039,やると決めたら楽しむ,司法試験の資格予備校の人たちとみんなで支えあったことが大きい,第三者的な視点を持つ必要がある,伸びしろがあると自分に満足しない,自分が努力しない限り何か得られるものはない。一つ一つの仕事が真剣勝負, , , ,Pattern20,司法試験資格予備人みんなこと三視点必要伸びしろ自分満足自分努力限りもの一一仕事真剣勝負,0.68,"対象:24020719 時期:今学期全てのキーワード:仕事に対して第三者的視点を持つ,成功体験から自分に自信を持つ,弱みを自覚してその上で伸び代にする,来る波に乗ってチャンスを逃さない,お金などの報酬は自分の努力次第なので一つ一つの仕事に対して真剣勝負で取り組む", ,1,楽しむ, 
森,22020048,高い壁でも自分のペースで焦らず進める,自分で考えて、自分の意志で行動する,やると決断したらしっかり楽しむと決める,来た波に対して誠心誠意を込めて乗る,実績を上げることで周囲の信頼を集め、それが自分の自信につながる, , , ,Pattern21,壁自分ペース自分自分意志行動決断波誠心誠意実績こと周囲信頼自分自信,0.64,"対象:22021337 時期:今学期全てのキーワード:やると決めたら楽しむ,自分で考えて自分で行動するという経験が、後の人生におおきく影響する,波が来たら乗る,自信は何か実績を上げることにより周りからの信頼を得ることが出来、信頼を得られたら自信がつく,大変なことでも、楽しむという意識を持って取り組むかどうかは自分の意志で決めるもの", ,1,楽しむ, 
森,22020061,自分で考えて行動する,いつか自分のことがちっぽけだと思ったら大人の始まりである,人との出会いはとても大切,やると決めたら楽しむ,実績信頼自信の正のスパイラル, , , ,Pattern22,自分行動自分こと大人始まり出会い実績信頼自信正スパイラル,0.62,"対象:22022074 時期:今学期全てのキーワード:やると決めたら楽しむ,自分の小ささを知ることが大人の始まり,自主自律,誠心誠意取り組む,実績→信頼→自信", ,1,楽しむ, 
森,22020098,波が来たら乗る,実績を上げて信頼を得て、信頼を得て自信になる,自分の知識を誰のために使うのか、他者の利益のために活用,色んな場所に行って自ら体験する,やると決めたら楽しむ, , , ,Pattern23,波実績信頼信頼自信自分知識ため他者利益ため活用場所自ら体験,0.62,"対象:22023402 時期:今学期全てのキーワード:やるって決めたら楽しむと決める,波がきたら人並みに乗る,実績を上げることで信頼につながり自信につながる,自らの主体性をもって磨きあげる,自分の利益のためでもなく他者の利益のために働くマスタリーフォーサービス精神を大事にする", ,1,楽しむ, 
森,22020107,やるからには楽しむ,来た波には乗る,一つ一つの仕事が全て真剣勝負,自分の意思で楽しむ,好奇心を持って色んなことをする, , , ,Pattern24,波一一仕事全て真剣勝負自分意思好奇こと,0.6,"対象:22023526 時期:今学期全てのキーワード:ずっと新しいことを楽しんでできる力,やると決めたら楽しむ,来た波にはのる,好奇心をもって現場に足を運んで経験する,全ての仕事は真剣勝負", ,1,楽しむ, 
森,22020177,第三者的視点を持つ,努力せずに得られるものはない,来た波には乗る,聞かれる前に連絡,やると決めたら楽しむ, , , ,Pattern25,三視点努力もの波前連絡,0.79,"対象:25023527 時期:今学期全てのキーワード:やると決めたら楽しむ,第三者的な視点を持つ,来た波に乗る,自分が努力をしない限り何か得られるものは無い,聞かれる前に連絡する", ,1,楽しむ, 
森,22020189,やると決めたら楽しむ,先の事を考えすぎず、来た波に乗る,自分のペースで学ぶこと,自分の小ささを知ること,挑戦してみること, , , ,,,, , ,1,楽しむ, 
森,22020434,法律,弁護士,テレホンカード,波に乗る力,女性, , , ,,,, , ,0,, 
森,22020445,大学,２年間,弁護士,きっかけ,真剣勝負, , , ,,,, , ,0,, 
森,22020493,やると決めたら楽しむ,来た波には乗る,聞かれる前に連絡をする,ずっと勉強を楽しんでできる力が弁護士には大切,何事も前向きに考える, , , ,Pattern26,波前連絡勉強力弁護何事,0.6,"対象:22021843 時期:今学期全てのキーワード:やると決めたら楽しむ,聞かれる前に連絡をすることが信頼につながる,きた波には乗る,何事も前向きにとらえる,やりきる力の重要さ", ,1,楽しむ, 
森,22020501,やると決めたら楽しむ,自分の存在が小さいことに気付く,波が来たら乗る,実績を上げて信頼と自信を持つ,法律の勉強は無駄にならない, , , ,Pattern27,自分存在こと実績信頼自信法律勉強無駄,0.61,"対象:22021554 時期:今学期全てのキーワード:やると決めたら楽しむ,第三者的に最善をつくす,実績と信頼,自信,自分で考えて行動する", ,1,楽しむ, 
森,22020633,やろうと決めたら楽しむ,自分で考えて自分で行動する,好奇心をもって現場に行っていろんなことを経験してほしい,依頼者と同じ立場ではなくてちょっと離れて違う面から依頼者の将来を見据えて考えるのが大事だ,人の役に立てると実感できる仕事を探す, , , ,Pattern28,自分自分行動好奇現場こと経験依頼立場面依頼将来役実感仕事,0.6,"対象:22023409 時期:今学期全てのキーワード:やると決めたら楽しむ,嫌だと思ったらできない,新人の頃から自分で考え自分で行動した。,知らないと怖いものはない,好奇心を持って現場に足を運び自ら体験してそれを経験する", ,1,楽しむ, 
森,22020690,やると決めたら楽しむ。困難な事であっても、前向きに自分なりに工夫して、取り組むべきことを楽しむ。,運が回ってくるような生き方をする。全てのことに対して真摯に向き合い結果を残し、人間関係を大切にする。,やって来たチャンスを生かす。巡ってきたチャンスにはネガティブな事もあるが、とりあえず挑戦する。,自分の現状に満足しない。自分の至らない点にも向き合い、自分を向上する前向きな姿勢をもつ。,新しいことに挑戦する。そこから自分の将来の夢に繋がり、財産となる人との出会いが生まれる。, , , ,Pattern1,困難事自分工夫こと運全てこと結果人間関係チャンスチャンスネガティブ事挑戦自分現状満足自分点自分向上姿勢こと挑戦自分将来夢財産人出会い,0.62,"対象:21020020 時期:今学期全てのキーワード:仕事をする上で俯瞰的になる、第三者的な視点を持たなければならない。,現状に満足せずに、のびしろがあることを理解する。すべてのことに一生懸命に取り組む。,人との出会いが自分を助けてくれる。その出会いによって、来た波には乗る。チャンスは掴む。,今の世の中は調べればすぐに情報を得られるが、好奇心を持って、自分で現場に足を運ぶことが大事。,やると決めたら楽しむ。この楽しむということは自分の意志によって実感することができる。", ,1,楽しむ, 
森,22020724,やると決めたら楽しむ,毎日必死,来た波に乗る,知らないことに興味を持つ,新しい仕組みに追いつく, , , ,Pattern29,毎日波こと興味仕組み,0.6,"対象:24023802 時期:今学期全てのキーワード:やると決めたら楽しむ,来た波には乗る,第三者的にみる,留学,傾聴", ,1,楽しむ, 
森,22020740,「やると決めたら楽しむ」,成功体験が仕事をする上での自信につながる,自分のことをちっぽけな存在だと思うことが大人のはじまり,「自分で考えて自分で行動する」を新人のころからやる,「来た波には乗る」, , , ,Pattern30,成功体験仕事上自信自分こと存在こと大人はじまり自分自分行動新人ころ波,0.62,"対象:23019209 時期:今学期全てのキーワード:やると決めたら楽しむ！,子供の頃は感じないが自分がちっぽけと感じるのが大人の始まり,自分は社会で役立つと自信を持ち楽しみながら仕事をしている,自分で考えて行動する,好奇心を持って自分の足を運んで体験しそれを経験にする", ,1,楽しむ, 
森,22020776,生活のすべてが法律に関係している。,マイペースに自分のやりたいことをやる。,弁護士は第三者として一生懸命にする仕事。,自分の知識を用いて奉仕するMasteryForServiceの姿勢。,関学がさまざまな出会いや発見の場であり出発点になりえる。, , , ,Pattern31,生活すべて法律関係マイペース自分こと弁護三一生仕事自分知識奉仕MasteryForService姿勢関学出会い発見場出発点,0.6,"対象:23023093 時期:今学期全てのキーワード:大人になっていろいろ経験を積むようになる。これが、大人の始まりである。,自分なりに考えて、自分なりに行動したことによって、今のような活躍につながる,何か実績を上げ、信頼を得ることができ、自信につながる。,MasteryforServiceとは人々に奉仕できる社会に役立つ知識と人間性を自らの主体性,「やるときめたらたのしむ。」楽しむというのは、自分の意志で決めることなんだ。", ,0,, 
森,22020821,仕事をしながら社会の変化に伴って自分のやりたいことを見つけられるかもしれない。,パートナー弁護士（経営する側に回る）,勤務弁護士の時は祭者はボス弁が受けた仕事を真面目にこなす。,クライアントはボス弁に依頼しているところが少し不安要素としてある。初心者には難しい。,弁護士では説得力という部分が大きなカギとなる。説得力はたくさんの経験を積んで上達していく。, , , ,Pattern32,仕事社会変化自分ことパートナー弁護経営側勤務弁護時祭ボス弁仕事クライアントボス弁依頼ところ不安要素初心弁護説得部分カギ説得経験上達,0.62,"対象:24023135 時期:今学期全てのキーワード:弁護士の仕事は第三者として全力を尽くすことであり依頼者の説得や決断を促す際にその視点は重要になる。,あれもこれもと手を出すとやめてしまう危険があるが自分のペースで取り組んでやると決めたら楽しむ。,迷いがある上に自分の中では否定的であっても声をかけていただけるのなら乗るよう心掛けて来た波には乗る。,すべて真剣勝負であるから真剣に取り組めば依頼者も理解してくださる上に自分の努力はお金にもつながる。,負け試合だとわかっていてもギリギリ五分五分で終わらせられるだけの熱意が弁護士には必要である。", ,0,, 
森,22020843,物事に取り組む時はやると決めたら楽しむ,自分で考えて自分で行動することを弁護士新人時代からやれたことが現在の活躍に繋がっている。,何か人から声をかけてもらった時には思い切って波に乗ってみる新しいことにチャレンジしてみる。,仕事に対して誠心誠意向き合う,依頼された仕事に真摯に向き合うことで周囲から信頼を得て、それを自信につなげていく。, , , ,Pattern33,物事時自分自分行動こと弁護新人時代こと現在活躍人声時波ことチャレンジ仕事誠心誠意依頼仕事こと周囲信頼自信,0.66,"対象:23022571 時期:今学期全てのキーワード:やると決めたら楽しむ。,弁護士は人の役に立つということを実感できる仕事。,自分で考えて行動するということを若手の時から行ったことが良い経験となった。,来た波には乗る。それに対して誠心誠意取り組む。,依頼者の思いを全部抱えてしまうのではなく、第三者的な目線を持っておくことが弁護士には必要。", ,1,楽しむ, 
森,22020857,【準備の大切さ】映画で見る裁判の仕事は年に数回で、そのための準備や努力がほとんどだと知り驚きました。,【イメージを持つ】挑戦する時、やる前から遠い目標だと決めつけているのは自分自身なのだと感じました。,【やったことがないことに挑戦】私も、これからの人生は何においても新しいチャレンジを大切にしたいです。,【常に不安だらけ】不安かどうかではなく不安に見えるかどうかが大切だと学びました。,【できない時代を経験】完璧な人はいないと学び、私も壁にぶつかった時それを生かして進もうと思えました。, , , ,,,, , ,0,, 
森,22020863,まず始めのキーワードとしてやると決めたら楽しむという事です。,二つ目としては現場に出て体験するという事です。,３つ目としては熱中しながらも冷静でいることです。,4つ目として人との出会いが何かに繋がる事です。,最後にキーワードとして関学のコミュニティーを大事にしていく事です。, , , ,,,, , ,1,楽しむ, 
森,22020892,やりきる力がある。,信頼を得ることで自信が生まれる。,来た波にはのる。,つながりを大切にする。,関学生であることを誇りに思っている。, , , ,Pattern34,力信頼こと自信波つながり関学こと誇り,0.64,"対象:25023237 時期:今学期全てのキーワード:やると決めたら楽しむ。,色々なものに好奇心を持って、自ら足を運び経験を積む。,自分にはまだ伸びしろがある。,人とのつながりは大事である。,波にのってみることで良いこともある。", ,0,, 
森,22020951,依頼者と同じ視点に立つのではなく俯瞰的に物事をみることが大切。,一回試験を受けて落ちることで自分の実力や試験の厳しさなどといった現実を知ることができる。,嫌と感じてしまった時点でやるか辞めるかの二択になるのでやると決めたら楽しむ。,自分には説得力がないと思って自身がないことはすぐに相手に伝わってしまう。,何かに誘われたとき自分のことを信用してくれているわけだから基本断らず真摯に前向きに取り組む。, , , ,Pattern1,依頼視点俯瞰物事こと一回試験こと自分実力試験現実こと時点二自分説得自身こと相手とき自分こと信用わけ基本,0.63,"対象:21020020 時期:今学期全てのキーワード:仕事をする上で俯瞰的になる、第三者的な視点を持たなければならない。,現状に満足せずに、のびしろがあることを理解する。すべてのことに一生懸命に取り組む。,人との出会いが自分を助けてくれる。その出会いによって、来た波には乗る。チャンスは掴む。,今の世の中は調べればすぐに情報を得られるが、好奇心を持って、自分で現場に足を運ぶことが大事。,やると決めたら楽しむ。この楽しむということは自分の意志によって実感することができる。", ,1,楽しむ, 
